Rk,Team,Date,H/A,Opp,Result,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%
1042,DET,2024-12-21,@,PHO,"W, 133-125",25.6,80.6,50.0,19.4,74.4,50.0
1043,LAL,2025-02-28,,LAC,"W, 106-102",25.6,65.9,53.0,34.1,74.4,53.0
1044,LAL,2024-11-15,@,SAS,"W, 120-115",25.6,73.8,49.4,26.2,74.4,49.4
1045,BRK,2025-02-04,,HOU,"W, 99-97",25.6,64.4,53.6,35.6,74.4,53.6
1046,BRK,2024-11-09,@,CLE,"L, 100-105",25.6,86.7,47.8,13.3,74.4,47.8
1047,ORL,2025-04-01,@,SAS,"W, 116-105",25.6,77.5,48.1,22.5,74.4,48.1
1048,TOR,2025-03-14,@,UTA,"W, 126-118",25.6,87.2,40.7,12.8,74.4,40.7
1049,WAS,2025-01-29,,TOR,"L, 82-106",25.6,82.5,45.6,17.5,74.4,45.6
1050,ATL,2025-03-06,,IND,"W, 124-118",25.6,76.2,49.4,23.8,74.4,49.4
1051,CHI,2025-01-10,,WAS,"W, 138-105",25.6,77.2,45.0,22.8,74.4,45.0
1052,DAL,2024-12-21,,LAC,"W, 113-97",25.6,80.0,48.2,20.0,74.4,48.2
1053,DET,2025-01-25,@,ORL,"L, 113-121",25.6,78.9,49.4,21.1,74.4,49.4
1054,DET,2025-01-13,@,NYK,"W, 124-119",25.6,73.7,51.9,26.3,74.4,51.9
1055,GSW,2025-01-25,,LAL,"L, 108-118",25.6,73.0,52.5,27.0,74.4,52.5
1056,HOU,2025-03-12,,PHO,"W, 111-104",25.6,84.4,49.3,15.6,74.4,49.3
1057,LAC,2025-03-23,,OKC,"L, 101-103",25.6,78.7,46.7,21.3,74.4,46.7
1058,LAL,2024-12-25,@,GSW,"W, 115-113",25.6,71.4,51.8,28.6,74.4,51.8
1059,MIN,2024-11-24,@,BOS,"L, 105-107",25.6,82.6,44.9,17.4,74.4,44.9
1060,OKC,2024-10-27,,ATL,"W, 128-104",25.6,66.7,52.1,33.3,74.4,52.1
1061,ORL,2024-12-27,,NYK,"L, 85-108",25.6,64.7,57.1,35.3,74.4,57.1
1062,PHI,2025-04-03,,MIL,"L, 113-126",25.6,78.4,50.0,21.6,74.4,50.0
1063,PHI,2025-01-10,,NOP,"L, 115-123",25.6,72.1,51.2,27.9,74.4,51.2
1064,PHO,2025-01-27,,LAC,"W, 111-109",25.6,73.7,51.9,26.3,74.4,51.9
1065,PHO,2025-01-22,@,BRK,"W, 108-84",25.6,64.9,52.0,35.1,74.4,52.0
1066,SAC,2024-11-29,@,POR,"L, 106-115",25.6,78.9,49.4,21.1,74.4,49.4
1067,SAS,2025-02-10,@,WAS,"W, 131-121",25.6,76.2,49.4,23.8,74.4,49.4
1068,ATL,2025-04-01,,POR,"L, 113-127",25.5,63.5,54.5,36.5,74.5,54.5
1069,CHI,2025-03-24,@,DEN,"W, 129-119",25.5,64.6,54.7,35.4,74.5,54.7
1070,MEM,2025-02-23,@,CLE,"L, 123-129",25.5,53.2,60.6,46.8,74.5,60.6
1071,MEM,2024-11-13,@,LAL,"L, 123-128",25.5,80.6,50.6,19.4,74.5,50.6
1072,MIA,2025-02-01,@,SAS,"W, 105-103",25.5,75.5,48.0,24.5,74.5,48.0
1073,BRK,2025-01-19,@,OKC,"L, 101-127",25.5,78.4,51.2,21.6,74.5,51.2
1074,BRK,2024-11-08,@,BOS,"L, 104-108 (OT)",25.5,90.7,43.3,9.3,74.5,43.3
1075,NOP,2025-02-10,@,OKC,"L, 101-137",25.5,75.0,51.7,25.0,74.5,51.7
1076,PHI,2025-01-28,,LAL,"W, 118-104",25.5,88.6,47.6,11.4,74.5,47.6
1077,BOS,2024-11-06,,GSW,"L, 112-118",25.5,69.4,53.0,30.6,74.5,53.0
1078,LAC,2025-02-13,@,UTA,"W, 120-116 (OT)",25.5,76.9,52.2,23.1,74.5,52.2
1079,LAC,2024-10-23,,PHO,"L, 113-116 (OT)",25.5,90.5,45.2,9.5,74.5,45.2
1080,MIA,2025-01-09,@,UTA,"W, 97-92",25.5,76.6,50.0,23.4,74.5,50.0
1081,NOP,2024-11-22,,GSW,"L, 108-112",25.5,68.2,54.7,31.8,74.5,54.7
1082,OKC,2024-11-19,@,SAS,"L, 104-110",25.5,81.0,49.5,19.0,74.5,49.5
1083,ORL,2025-02-21,,MEM,"L, 104-105",25.5,71.2,51.5,28.8,74.5,51.5
1084,POR,2024-11-22,@,HOU,"L, 88-116",25.5,71.1,53.1,28.9,74.5,53.1
1085,TOR,2025-03-30,@,PHI,"W, 127-109",25.5,80.5,50.0,19.5,74.5,50.0
1086,WAS,2024-12-03,@,CLE,"L, 87-118",25.5,84.8,46.4,15.2,74.5,46.4
1087,CHO,2024-11-23,@,MIL,"L, 119-125",25.5,77.3,51.5,22.7,74.5,51.5
1088,DEN,2025-02-27,@,MIL,"L, 112-121",25.5,85.4,46.6,14.6,74.5,46.6
1089,MEM,2024-10-25,@,HOU,"L, 108-128",25.5,55.8,59.8,44.2,74.5,59.8
1090,BRK,2025-03-01,@,DET,"L, 94-115",25.5,80.0,55.3,20.0,74.5,55.3
1091,UTA,2025-01-01,@,NYK,"L, 103-119",25.5,83.8,51.1,16.2,74.5,51.1
1092,UTA,2024-10-25,,GSW,"L, 86-127",25.5,62.0,57.1,38.0,74.5,57.1
1093,ATL,2025-01-22,,DET,"L, 104-114",25.4,82.1,52.0,17.9,74.6,52.0
1094,SAC,2024-12-22,,IND,"L, 95-122",25.4,84.2,51.5,15.8,74.6,51.5
1095,ATL,2025-02-26,@,MIA,"L, 109-131",25.0,75.0,51.5,25.0,75.0,51.5
1096,ATL,2025-01-03,@,LAL,"L, 102-119",25.0,60.5,58.9,39.5,75.0,58.9
1097,BOS,2025-03-02,,DEN,"W, 110-103",25.0,81.4,45.8,18.6,75.0,45.8
1098,BOS,2025-01-02,@,MIN,"W, 118-115",25.0,65.6,56.9,34.4,75.0,56.9
1099,CHO,2025-04-02,@,IND,"L, 105-119",25.0,76.1,46.3,23.9,75.0,46.3
1100,CHO,2025-03-12,@,ATL,"L, 110-123",25.0,74.0,47.8,26.0,75.0,47.8
1101,CHI,2024-11-07,,MIN,"L, 119-135",25.0,68.8,55.6,31.3,75.0,55.6
1102,CLE,2024-10-23,@,TOR,"W, 136-106",25.0,66.7,51.4,33.3,75.0,51.4
