Rk,Team,Date,Rec,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Match Report
44,Paris S-G,2024-11-22,707,,Toulouse,fr Ligue 1,W 3-0,3,0,+3,72,3,0,0,0,707,59,650,3306,1568,32,23,13,13,5,Match Report
45,Inter,2024-10-30,706,@,Empoli,it Serie A,W 3-0,3,0,+3,77,3,0,0,0,706,73,629,2778,1331,18,18,7,11,5,Match Report
46,Barcelona,2025-03-02,703,,Real Sociedad,es La Liga,W 4-0,4,0,+4,76,4,0,0,0,703,69,588,2844,1460,29,25,13,13,7,Match Report
47,Barcelona,2025-03-27,699,,Osasuna,es La Liga,W 3-0,3,0,+3,74,2,1,1,0,699,61,513,2021,1070,22,11,6,14,10,Match Report
48,Bayern Munich,2025-01-15,695,,Hoffenheim,de Bundesliga,W 5-0,5,0,+5,65,4,1,1,0,695,86,548,2452,1175,19,17,7,11,4,Match Report
49,Paris S-G,2024-12-15,695,,Lyon,fr Ligue 1,W 3-1,3,1,+2,68,2,1,1,0,695,51,452,2425,1452,32,24,9,16,7,Match Report
50,Real Madrid,2024-09-24,694,,Alavés,es La Liga,W 3-2,3,2,+1,68,3,0,0,0,694,38,583,3380,1828,28,15,15,15,10,Match Report
51,Marseille,2024-10-04,694,,Angers,fr Ligue 1,D 1-1,1,1,0,76,1,0,0,0,694,79,566,2884,1740,18,28,6,14,3,Match Report
52,Manchester City,2025-01-19,693,@,Ipswich Town,eng Premier League,W 6-0,6,0,+6,67,6,0,0,0,693,49,581,3138,1701,34,30,15,16,8,Match Report
53,Liverpool,2025-01-25,692,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,70,4,0,0,0,692,76,591,3074,1573,28,23,10,12,15,Match Report
54,Bayern Munich,2025-03-08,690,,Bochum,de Bundesliga,L 2-3,2,3,-1,73,2,0,1,1,690,58,609,2556,1393,18,15,1,16,15,Match Report
55,Saint-Étienne,2025-01-19,690,,Nantes,fr Ligue 1,D 1-1,1,1,0,75,1,0,0,0,690,63,531,2552,1187,25,17,5,24,19,Match Report
56,Bayern Munich,2024-10-27,689,@,Bochum,de Bundesliga,W 5-0,5,0,+5,72,5,0,0,0,689,59,535,2913,1591,32,32,9,17,3,Match Report
57,Torino,2024-09-20,688,@,Hellas Verona,it Serie A,W 3-2,3,2,+1,70,3,0,1,1,688,55,495,2591,1464,19,17,3,9,7,Match Report
58,Strasbourg,2024-11-02,684,@,Saint-Étienne,fr Ligue 1,L 0-2,0,2,-2,64,0,0,0,0,684,62,628,2670,1518,22,15,5,13,8,Match Report
59,Roma,2025-02-24,683,,Monza,it Serie A,W 4-0,4,0,+4,65,4,0,0,0,683,52,477,2050,1060,24,14,9,12,6,Match Report
60,Manchester City,2024-10-20,681,@,Wolves,eng Premier League,W 2-1,2,1,+1,77,2,0,0,0,681,100,601,3597,2182,65,42,23,10,14,Match Report
61,Manchester City,2024-08-31,681,@,West Ham,eng Premier League,W 3-1,3,1,+2,67,3,0,0,0,681,77,461,2857,1695,39,20,16,7,8,Match Report
62,Bayern Munich,2025-03-15,680,@,Union Berlin,de Bundesliga,D 1-1,1,1,0,80,1,0,0,0,680,93,593,3000,1666,27,28,5,18,6,Match Report
63,Barcelona,2025-04-05,680,,Betis,es La Liga,D 1-1,1,1,0,73,1,0,0,0,680,75,591,2957,1590,26,20,7,17,6,Match Report
64,Chelsea,2025-02-14,680,@,Brighton,eng Premier League,L 0-3,0,3,-3,69,0,0,0,0,680,48,489,2485,1028,20,10,6,10,9,Match Report
65,RB Leipzig,2024-09-14,677,,Union Berlin,de Bundesliga,D 0-0,0,0,0,67,0,0,1,1,677,43,529,2191,999,16,15,6,16,13,Match Report
66,Girona,2024-12-20,676,,Valladolid,es La Liga,W 3-0,3,0,+3,70,3,0,0,0,676,60,572,3119,1624,40,30,12,15,8,Match Report
