Rk,Team,Date,Att (GK),,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att (GK),Thr,Launch%,AvgLen,Match Report
71,Southampton,2024-09-30,49,@,Bournemouth,eng Premier League,L 1-3,1,3,-2,60,1,0,0,0,49,5,34.7,34.5,Match Report
72,West Ham,2024-12-21,49,,Brighton,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,49,6,46.9,36.1,Match Report
73,Sevilla,2024-10-25,49,@,Espanyol,es La Liga,W 2-0,2,0,+2,57,2,0,0,0,49,3,51.0,38.2,Match Report
74,Everton,2024-12-26,49,@,Manchester City,eng Premier League,D 1-1,1,1,0,34,1,0,0,0,49,7,46.9,37.3,Match Report
75,Milan,2024-11-09,49,@,Cagliari,it Serie A,D 3-3,3,3,0,55,3,0,0,0,49,3,24.5,27.3,Match Report
76,Parma,2025-03-01,49,@,Udinese,it Serie A,L 0-1,0,1,-1,57,0,0,0,0,49,13,22.4,30.7,Match Report
77,Torino,2024-10-31,48,@,Roma,it Serie A,L 0-1,0,1,-1,43,0,0,0,0,48,6,31.3,33.5,Match Report
78,Arsenal,2024-12-21,48,@,Crystal Palace,eng Premier League,W 5-1,5,1,+4,58,5,0,0,0,48,3,37.5,32.3,Match Report
79,Manchester Utd,2024-11-24,48,@,Ipswich Town,eng Premier League,D 1-1,1,1,0,60,1,0,0,0,48,4,16.7,27.0,Match Report
80,Marseille,2024-11-03,48,@,Nantes,fr Ligue 1,W 2-1,2,1,+1,73,2,0,0,0,48,3,8.3,23.1,Match Report
81,Union Berlin,2024-12-06,48,@,Stuttgart,de Bundesliga,L 2-3,2,3,-1,36,2,0,0,0,48,6,39.6,31.7,Match Report
82,Dortmund,2024-10-05,48,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,67,1,0,0,0,48,5,18.8,27.4,Match Report
83,Rennes,2025-02-02,48,,Strasbourg,fr Ligue 1,W 1-0,1,0,+1,46,1,0,0,0,48,4,37.5,33.1,Match Report
84,Manchester City,2024-11-02,48,@,Bournemouth,eng Premier League,L 1-2,1,2,-1,64,1,0,0,0,48,8,16.7,27.7,Match Report
85,Milan,2025-03-15,48,,Como,it Serie A,W 2-1,2,1,+1,42,2,0,0,0,48,8,25.0,32.1,Match Report
86,Milan,2024-12-06,48,@,Atalanta,it Serie A,L 1-2,1,2,-1,48,1,0,0,0,48,2,10.4,26.2,Match Report
87,Betis,2024-11-03,48,@,Athletic Club,es La Liga,D 1-1,1,1,0,50,1,0,0,0,48,7,22.9,30.8,Match Report
88,Arsenal,2025-01-04,47,@,Brighton,eng Premier League,D 1-1,1,1,0,55,1,0,0,0,47,8,29.8,31.4,Match Report
89,Manchester Utd,2024-09-01,47,,Liverpool,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,47,4,19.1,26.3,Match Report
90,Como,2025-01-25,47,,Atalanta,it Serie A,L 1-2,1,2,-1,54,1,0,0,0,47,7,40.4,36.3,Match Report
91,Liverpool,2024-08-17,47,@,Ipswich Town,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,47,3,19.1,25.6,Match Report
92,Girona,2024-11-23,47,,Espanyol,es La Liga,W 4-1,4,1,+3,75,4,0,0,0,47,2,21.3,32.3,Match Report
93,Freiburg,2024-12-08,47,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,50,1,0,0,0,47,8,23.4,31.1,Match Report
