Rk,Team,Date,Att,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att,Launch%,AvgLen,Match Report
82,Gladbach,2025-03-15,14,@,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,47,3,1,1,0,14,57.1,43.4,Match Report
83,Gladbach,2025-02-22,14,,Augsburg,de Bundesliga,L 0-3,0,3,-3,49,0,0,0,0,14,85.7,61.2,Match Report
84,Southampton,2024-11-29,14,@,Brighton,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,14,7.1,11.6,Match Report
85,Tottenham,2024-12-05,14,@,Bournemouth,eng Premier League,L 0-1,0,1,-1,65,0,0,0,0,14,0.0,17.9,Match Report
86,Fiorentina,2025-02-06,14,,Inter,it Serie A,W 3-0,3,0,+3,29,3,0,0,0,14,92.9,60.6,Match Report
87,Bournemouth,2024-08-31,14,@,Everton,eng Premier League,W 3-2,3,2,+1,53,3,0,0,0,14,28.6,30.9,Match Report
88,Stuttgart,2025-03-08,14,@,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,48,2,0,0,0,14,64.3,46.3,Match Report
89,Auxerre,2025-03-14,14,@,Nice,fr Ligue 1,D 1-1,1,1,0,49,1,0,0,0,14,64.3,44.4,Match Report
90,West Ham,2025-02-03,14,@,Chelsea,eng Premier League,L 1-2,1,2,-1,32,1,0,0,0,14,85.7,58.6,Match Report
91,West Ham,2025-01-14,14,,Fulham,eng Premier League,W 3-2,3,2,+1,44,3,0,0,0,14,42.9,37.4,Match Report
92,Leganés,2025-03-16,14,,Betis,es La Liga,L 2-3,2,3,-1,36,2,0,0,0,14,92.9,65.7,Match Report
93,Reims,2025-02-28,14,@,Monaco,fr Ligue 1,L 0-3,0,3,-3,44,0,0,0,0,14,64.3,46.1,Match Report
94,Reims,2025-02-21,14,@,Rennes,fr Ligue 1,L 0-1,0,1,-1,42,0,0,0,0,14,64.3,47.9,Match Report
95,Girona,2024-09-15,14,,Barcelona,es La Liga,L 1-4,1,4,-3,45,1,0,0,0,14,14.3,21.0,Match Report
