Rk,Team,Date,Gls,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
122,Newcastle Utd,2024-12-14,4,,Leicester City,eng Premier League,W 4-0,4,0,+4,59,4,0,0,0,4,27,0.15,0.36,11,40.7,15.1,1,Match Report
123,Rennes,2025-03-02,4,@,Montpellier,fr Ligue 1,W 4-0,4,0,+4,54,4,0,1,1,4,14,0.29,0.57,7,50.0,15.4,0,Match Report
124,Manchester City,2025-02-15,4,,Newcastle Utd,eng Premier League,W 4-0,4,0,+4,61,4,0,0,0,4,11,0.36,0.57,7,63.6,15.2,0,Match Report
125,Manchester City,2024-08-24,4,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,75,3,1,1,0,4,13,0.23,0.75,4,30.8,17.8,1,Match Report
126,Strasbourg,2025-03-28,4,,Lyon,fr Ligue 1,W 4-2,4,2,+2,40,4,0,0,0,4,14,0.29,0.57,7,50.0,19.0,2,Match Report
127,Cagliari,2025-01-19,4,,Lecce,it Serie A,W 4-1,4,1,+3,50,4,0,0,0,4,19,0.21,0.67,6,31.6,13.3,0,Match Report
128,Leverkusen,2025-03-01,4,@,Eint Frankfurt,de Bundesliga,W 4-1,4,1,+3,59,4,0,0,0,4,20,0.20,0.44,9,45.0,15.1,0,Match Report
129,Leverkusen,2024-09-22,4,,Wolfsburg,de Bundesliga,W 4-3,4,3,+1,78,4,0,0,0,4,20,0.20,0.57,7,35.0,16.3,0,Match Report
130,Leverkusen,2024-09-14,4,@,Hoffenheim,de Bundesliga,W 4-1,4,1,+3,60,3,1,1,0,4,19,0.16,0.50,6,31.6,15.8,1,Match Report
131,Lille,2025-02-01,4,,Saint-Étienne,fr Ligue 1,W 4-1,4,1,+3,67,3,1,1,0,4,28,0.11,0.25,12,42.9,17.1,1,Match Report
132,Brentford,2025-02-21,4,@,Leicester City,eng Premier League,W 4-0,4,0,+4,52,4,0,0,0,4,14,0.29,0.67,6,42.9,12.1,0,Match Report
133,Brentford,2024-12-07,4,,Newcastle Utd,eng Premier League,W 4-2,4,2,+2,43,4,0,0,0,4,11,0.36,0.57,7,63.6,17.6,0,Match Report
134,Brentford,2024-11-30,4,,Leicester City,eng Premier League,W 4-1,4,1,+3,60,4,0,0,0,4,13,0.31,0.67,6,46.2,16.0,1,Match Report
135,Brentford,2024-10-26,4,,Ipswich Town,eng Premier League,W 4-3,4,3,+1,65,3,1,1,0,4,19,0.16,0.38,8,42.1,16.0,1,Match Report
136,Roma,2025-02-24,4,,Monza,it Serie A,W 4-0,4,0,+4,65,4,0,0,0,4,23,0.17,0.67,6,26.1,19.3,0,Match Report
137,Roma,2024-12-07,4,,Lecce,it Serie A,W 4-1,4,1,+3,59,4,0,0,0,4,23,0.17,0.50,8,34.8,17.3,0,Match Report
138,Chelsea,2025-02-25,4,,Southampton,eng Premier League,W 4-0,4,0,+4,60,4,0,0,0,4,19,0.21,0.40,10,52.6,15.6,1,Match Report
139,Chelsea,2024-12-08,4,@,Tottenham,eng Premier League,W 4-3,4,3,+1,61,2,2,2,0,4,15,0.13,0.33,6,40.0,17.9,0,Match Report
140,Chelsea,2024-09-28,4,,Brighton,eng Premier League,W 4-2,4,2,+2,41,3,1,1,0,4,14,0.21,0.60,5,35.7,15.7,1,Match Report
141,Brighton,2025-02-22,4,@,Southampton,eng Premier League,W 4-0,4,0,+4,50,4,0,0,0,4,18,0.22,0.33,12,66.7,14.6,1,Match Report
142,Everton,2025-02-01,4,,Leicester City,eng Premier League,W 4-0,4,0,+4,48,4,0,0,0,4,13,0.31,0.57,7,53.8,13.5,0,Match Report
143,Napoli,2024-09-15,4,@,Cagliari,it Serie A,W 4-0,4,0,+4,49,4,0,0,0,4,13,0.31,0.80,5,38.5,16.0,0,Match Report
144,Lyon,2025-03-16,4,,Le Havre,fr Ligue 1,W 4-2,4,2,+2,67,3,1,1,0,4,15,0.20,0.50,6,40.0,15.5,0,Match Report
145,Lyon,2025-02-16,4,@,Montpellier,fr Ligue 1,W 4-1,4,1,+3,62,4,0,0,0,4,9,0.44,0.67,6,66.7,14.9,0,Match Report
146,Lyon,2025-02-09,4,,Reims,fr Ligue 1,W 4-0,4,0,+4,67,4,0,0,0,4,15,0.27,0.44,9,60.0,15.4,0,Match Report
147,Lyon,2024-12-01,4,,Nice,fr Ligue 1,W 4-1,4,1,+3,53,3,1,1,0,4,15,0.20,0.43,7,46.7,16.2,2,Match Report
148,Lyon,2024-10-20,4,@,Le Havre,fr Ligue 1,W 4-0,4,0,+4,61,4,0,0,0,4,16,0.25,0.50,8,50.0,19.2,0,Match Report
149,Lyon,2024-08-30,4,,Strasbourg,fr Ligue 1,W 4-3,4,3,+1,48,4,0,0,0,4,20,0.20,0.33,12,60.0,14.6,0,Match Report
150,Inter,2025-01-26,4,@,Lecce,it Serie A,W 4-0,4,0,+4,51,3,1,1,0,4,8,0.38,0.75,4,50.0,16.0,0,Match Report
151,Inter,2024-10-27,4,,Juventus,it Serie A,D 4-4,4,4,0,47,2,2,2,0,4,16,0.13,0.29,7,43.8,14.5,0,Match Report
152,Atlético Madrid,2024-12-08,4,,Sevilla,es La Liga,W 4-3,4,3,+1,57,4,0,0,0,4,14,0.29,0.44,9,64.3,16.1,0,Match Report
153,Milan,2024-09-14,4,,Venezia,it Serie A,W 4-0,4,0,+4,62,2,2,2,0,4,10,0.20,0.33,6,60.0,20.0,0,Match Report
154,Valencia,2024-11-23,4,,Betis,es La Liga,W 4-2,4,2,+2,48,4,0,0,0,4,11,0.36,0.80,5,45.5,15.3,0,Match Report
155,Juventus,2025-02-02,4,,Empoli,it Serie A,W 4-1,4,1,+3,55,4,0,0,0,4,23,0.17,0.50,8,34.8,19.2,2,Match Report
156,Juventus,2024-10-27,4,@,Inter,it Serie A,D 4-4,4,4,0,53,4,0,0,0,4,10,0.40,0.80,5,50.0,13.6,0,Match Report
157,Paris S-G,2025-03-08,4,@,Rennes,fr Ligue 1,W 4-1,4,1,+3,68,4,0,0,0,4,19,0.21,0.44,9,47.4,17.1,0,Match Report
158,Paris S-G,2025-03-01,4,,Lille,fr Ligue 1,W 4-1,4,1,+3,58,4,0,0,0,4,26,0.15,0.36,11,42.3,15.3,1,Match Report
159,Paris S-G,2025-02-07,4,,Monaco,fr Ligue 1,W 4-1,4,1,+3,63,4,0,0,0,4,16,0.25,0.57,7,43.8,17.8,1,Match Report
