Rk,Team,Date,PKatt,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PKatt,PKA,PKsv,PKm,Save%,Match Report
2498,Valencia,2025-01-26,0,@,Barcelona,es La Liga,L 1-7,1,7,-6,29,1,0,0,0,0,0,0,0,,Match Report
2499,Valencia,2025-01-19,0,,Real Sociedad,es La Liga,W 1-0,1,0,+1,36,1,0,0,0,0,0,0,0,,Match Report
2500,Valencia,2025-01-11,0,@,Sevilla,es La Liga,D 1-1,1,1,0,46,1,0,0,0,0,0,0,0,,Match Report
2501,Valencia,2024-12-18,0,@,Espanyol,es La Liga,D 1-1,1,1,0,54,1,0,0,0,0,0,0,0,,Match Report
2502,Valencia,2024-12-13,0,@,Valladolid,es La Liga,L 0-1,0,1,-1,67,0,0,0,0,0,0,0,0,,Match Report
2503,Valencia,2024-12-07,0,,Rayo Vallecano,es La Liga,L 0-1,0,1,-1,60,0,0,0,0,0,0,0,0,,Match Report
2504,Valencia,2024-11-29,0,@,Mallorca,es La Liga,L 1-2,1,2,-1,52,0,1,1,0,0,0,0,0,,Match Report
2505,Valencia,2024-11-23,0,,Betis,es La Liga,W 4-2,4,2,+2,48,4,0,0,0,0,0,0,0,,Match Report
2506,Valencia,2024-10-21,0,,Las Palmas,es La Liga,L 2-3,2,3,-1,48,1,1,1,0,0,0,0,0,,Match Report
2507,Valencia,2024-10-04,0,@,Leganés,es La Liga,D 0-0,0,0,0,41,0,0,0,0,0,0,0,0,,Match Report
2508,Valencia,2024-09-28,0,@,Real Sociedad,es La Liga,L 0-3,0,3,-3,39,0,0,0,0,0,0,0,0,,Match Report
2509,Valencia,2024-09-24,0,,Osasuna,es La Liga,D 0-0,0,0,0,52,0,0,0,0,0,0,0,0,,Match Report
2510,Valencia,2024-09-21,0,,Girona,es La Liga,W 2-0,2,0,+2,33,2,0,0,0,0,0,0,0,,Match Report
2511,Valencia,2024-09-15,0,@,Atlético Madrid,es La Liga,L 0-3,0,3,-3,47,0,0,0,0,0,0,0,0,,Match Report
2512,Valencia,2024-08-31,0,,Villarreal,es La Liga,D 1-1,1,1,0,58,1,0,0,0,0,0,0,0,,Match Report
2513,Valencia,2024-08-28,0,@,Athletic Club,es La Liga,L 0-1,0,1,-1,50,0,0,0,0,0,0,0,0,,Match Report
2514,Juventus,2025-04-06,0,@,Roma,it Serie A,D 1-1,1,1,0,59,1,0,0,0,0,0,0,0,,Match Report
2515,Juventus,2025-03-29,0,,Genoa,it Serie A,W 1-0,1,0,+1,49,1,0,0,0,0,0,0,0,,Match Report
2516,Juventus,2025-03-16,0,@,Fiorentina,it Serie A,L 0-3,0,3,-3,62,0,0,0,0,0,0,0,0,,Match Report
2517,Juventus,2025-03-03,0,,Hellas Verona,it Serie A,W 2-0,2,0,+2,75,2,0,0,0,0,0,0,0,,Match Report
2518,Juventus,2025-02-23,0,@,Cagliari,it Serie A,W 1-0,1,0,+1,60,1,0,0,0,0,0,0,0,,Match Report
2519,Juventus,2025-02-16,0,,Inter,it Serie A,W 1-0,1,0,+1,42,1,0,0,0,0,0,0,0,,Match Report
2520,Juventus,2025-02-07,0,@,Como,it Serie A,W 2-1,2,1,+1,48,1,1,1,0,0,0,0,0,,Match Report
2521,Juventus,2025-02-02,0,,Empoli,it Serie A,W 4-1,4,1,+3,55,4,0,0,0,0,0,0,0,,Match Report
2522,Juventus,2025-01-18,0,,Milan,it Serie A,W 2-0,2,0,+2,60,2,0,0,0,0,0,0,0,,Match Report
2523,Juventus,2025-01-14,0,@,Atalanta,it Serie A,D 1-1,1,1,0,40,1,0,0,0,0,0,0,0,,Match Report
2524,Juventus,2025-01-11,0,@,Torino,it Serie A,D 1-1,1,1,0,59,1,0,0,0,0,0,0,0,,Match Report
2525,Juventus,2024-12-29,0,,Fiorentina,it Serie A,D 2-2,2,2,0,62,2,0,0,0,0,0,0,0,,Match Report
2526,Juventus,2024-12-22,0,@,Monza,it Serie A,W 2-1,2,1,+1,55,2,0,0,0,0,0,0,0,,Match Report
2527,Juventus,2024-12-14,0,,Venezia,it Serie A,D 2-2,2,2,0,69,1,1,1,0,0,0,0,0,,Match Report
2528,Juventus,2024-12-07,0,,Bologna,it Serie A,D 2-2,2,2,0,54,2,0,0,0,0,0,0,0,,Match Report
2529,Juventus,2024-12-01,0,@,Lecce,it Serie A,D 1-1,1,1,0,61,1,0,0,0,0,0,0,0,,Match Report
2530,Juventus,2024-11-23,0,@,Milan,it Serie A,D 0-0,0,0,0,56,0,0,0,0,0,0,0,0,,Match Report
2531,Juventus,2024-11-09,0,,Torino,it Serie A,W 2-0,2,0,+2,54,2,0,0,0,0,0,0,0,,Match Report
2532,Juventus,2024-11-02,0,@,Udinese,it Serie A,W 2-0,2,0,+2,61,1,0,0,0,0,0,0,0,,Match Report
2533,Juventus,2024-10-30,0,,Parma,it Serie A,D 2-2,2,2,0,61,2,0,0,0,0,0,0,0,,Match Report
2534,Juventus,2024-10-19,0,,Lazio,it Serie A,W 1-0,1,0,+1,69,0,0,0,0,0,0,0,0,,Match Report
2535,Juventus,2024-09-28,0,@,Genoa,it Serie A,W 3-0,3,0,+3,65,2,1,1,0,0,0,0,0,,Match Report
2536,Juventus,2024-09-21,0,,Napoli,it Serie A,D 0-0,0,0,0,64,0,0,0,0,0,0,0,0,,Match Report
2537,Juventus,2024-09-14,0,@,Empoli,it Serie A,D 0-0,0,0,0,65,0,0,0,0,0,0,0,0,,Match Report
2538,Juventus,2024-09-01,0,,Roma,it Serie A,D 0-0,0,0,0,49,0,0,0,0,0,0,0,0,,Match Report
2539,Juventus,2024-08-26,0,@,Hellas Verona,it Serie A,W 3-0,3,0,+3,60,2,1,1,0,0,0,0,0,,Match Report
